mp_name,party,gender,parliament
Ong Ye Kung,PAP,M,15
Patrick Tay Teck Guan,PAP,M,12
Patrick Tay Teck Guan,PAP,M,13
Patrick Tay Teck Guan,PAP,M,14
Patrick Tay Teck Guan,PAP,M,15
Penny Low,PAP,F,12
Png Eng Huat,WP,M,12
Png Eng Huat,WP,M,13
Poh Li San,PAP,F,14
Poh Li San,PAP,F,15
Pritam Singh,WP,M,12
Pritam Singh,WP,M,13
Pritam Singh,WP,M,14
Pritam Singh,WP,M,15
R Dhinakaran,NMP,M,12
Rachel Ong,PAP,F,14
Rachel Ong,PAP,F,15
Raeesah Khan,WP,F,14
Rahayu Mahzam,PAP,F,13
Rahayu Mahzam,PAP,F,14
Rahayu Mahzam,PAP,F,15
Raj Joshua Thomas,NMP,M,14
Randolph Tan,NMP,M,12
Randolph Tan,NMP,M,13
Raymond Lim Siang Keat,PAP,M,12
Razwana Begum Abdul Rahim,NMP,F,14
Rita Soh Siow Lan,NMP,F,12
S Iswaran,PAP,M,12
S Iswaran,PAP,M,13
S Iswaran,PAP,M,14
Saktiandi Supaat,PAP,M,13
Saktiandi Supaat,PAP,M,14
Saktiandi Supaat,PAP,M,15
Sam Tan Chin Siong,PAP,M,12
Sam Tan Chin Siong,PAP,M,13
Sanjeev Kumar Tiwari,NMP,M,15
Seah Kian Peng,PAP,M,12
Seah Kian Peng,PAP,M,13
Seah Kian Peng,PAP,M,14
Seah Kian Peng,PAP,M,15
See Jinli Jean,NMP,F,14
Seng Han Thong,PAP,M,12
Shahira Abdullah,NMP,F,14
Sharael Taha,PAP,M,14
Sharael Taha,PAP,M,15
Shawn Huang Wei Zhong,PAP,M,14
Shawn Huang Wei Zhong,PAP,M,15
Shawn Loh,PAP,M,15
Sim Ann,PAP,F,12
Sim Ann,PAP,F,13
Sim Ann,PAP,F,14
Sim Ann,PAP,F,15
Sitoh Yih Pin,PAP,M,12
Sitoh Yih Pin,PAP,M,13
Sitoh Yih Pin,PAP,M,14
Sun Xueling,PAP,F,13
Sun Xueling,PAP,F,14
Sun Xueling,PAP,F,15
Syed Harun Alhabsyi,NMP,M,14
Syed Harun Alhabsyi,PAP,M,15
Sylvia Lim,WP,F,12
Sylvia Lim,WP,F,13
Sylvia Lim,WP,F,14
Sylvia Lim,WP,F,15
Tan Chuan-Jin,PAP,M,12
Tan Chuan-Jin,PAP,M,13
Tan Chuan-Jin,PAP,M,14
Tan Kheng Boon Eugene,NMP,M,12
Tan Kiat How,PAP,M,14
Tan Kiat How,PAP,M,15
Tan See Leng,PAP,M,14
Tan See Leng,PAP,M,15
Tan Su Shan,NMP,F,12
Tan Tai Yong,NMP,M,12
Tan Wu Meng,PAP,M,13
Tan Wu Meng,PAP,M,14
Tan Yia Swam,NMP,F,14
Teo Chee Hean,PAP,M,12
Teo Chee Hean,PAP,M,13
Teo Chee Hean,PAP,M,14
Teo Ho Pin,PAP,M,12
Teo Ho Pin,PAP,M,13
Teo Ser Luck,PAP,M,12
Teo Ser Luck,PAP,M,13
Teo Siong Seng,NMP,M,12
Terence Ho,NMP,M,15
Terence Ho Wee San,NMP,M,13
Tharman Shanmugaratnam,PAP,M,12
Tharman Shanmugaratnam,PAP,M,13
Tharman Shanmugaratnam,PAP,M,14
Thomas Chua Kee Seng,NMP,M,12
Thomas Chua Kee Seng,NMP,M,13
Tin Pei Ling,PAP,F,12
